Ano base,UF,Classe Substância Mineral,Substância Mineral,Quantidade (litros) Garrafão,Quantidade (litros) Garrafa Plástica,Quantidade (litros) Garrafa de Vidro,Quantidade (litros) Copo,Quantidade (litros) Outras Embalagens,Valor (R$) Garrafão,Valor (R$) Garrafa Plástica,Valor (R$) Garrafa de Vidro,Valor (R$) Copo,Valor (R$) Outras Embalagens,Quantidade (litros) Composição Produtos Industrializados,Valor (R$) Composição Produtos Industrializados,Unidade de Medida
2011,PR,Água,Água,156739407.0,34119456.68,1160544.0,4674770.4,364651.0,47635239.68,35424081.01,1221215.64,4356127.09,335129.9,62767.69,6276771.16,l
2011,RJ,Água,Água,359158676.31,78125650.44,301332.0,4373731.4,23360311.79,18376148.97,49485986.27,87888.5,2268143.54,281965.44,5377155.3,93640.03,l
2011,RN,Água,Água,205250855.0,6394835.0,0.0,728307.6,0.0,11137064.85,4389905.32,0.0,942018.54,0.0,0.0,0.0,l
2011,RO,Água,Água,122002324.0,10516742.46,0.0,871983.6,0.0,11563929.52,8838267.08,0.0,710693.72,0.0,0.0,0.0,l
2011,RR,Água,Água,4200884.0,1624338.68,0.0,0.0,106873.2,973165.0,369669.81,0.0,0.0,18702.72,0.0,0.0,l
2011,RS,Água,Água,160707462.25,139456549.25,332148.0,3180641.0,6128190.0,36032831.93,132164277.61,388833.14,3846110.56,253711.0,51780580.4,65500.01,l
2011,SC,Água,Água,119902168.33,30689059.95,4223.0,815426.63,2293156.18,20080675.48,18201212.18,5215.66,836384.72,1152911.88,0.0,0.0,l
2011,SE,Água,Água,78570498.26,9877235.48,0.0,1384086.0,0.0,11082343.17,7442492.48,0.0,1176090.77,0.0,0.0,0.0,l
2011,SP,Água,Água,664664260.63,471532936.34,6646147.25,28463817.06,2005861.5,71033362.21,403665357.16,6849057.73,25171561.25,1102040.03,484814862.66,16335274.89,l
2011,TO,Água,Água,20361705.0,2093667.84,0.0,160970.8,0.0,1862385.58,1730492.03,0.0,137459.06,0.0,0.0,0.0,l
2012,AC,Água,Água,58700125.9,4721729.1,0.0,0.0,0.0,3432136.33,946144.32,0.0,0.0,0.0,0.0,0.0,l
2012,AL,Água,Água,148824207.0,50811064.7,0.0,4607350.28,0.0,22770057.23,37892823.37,0.0,3651623.69,0.0,0.0,0.0,l
2012,AM,Água,Água,127277181.0,25831142.9,0.0,605795.2,29561110.0,15175518.33,20801959.74,0.0,579025.62,8737386.75,33918337.0,13951.37,l
2012,AP,Água,Água,10166677.22,1583111.4,0.0,1196433.0,0.0,1218671.59,113349.8,0.0,80362.8,0.0,0.0,0.0,l
2012,BA,Água,Água,546315438.94,82118961.15,0.0,9482160.59,27316.3,45922435.1,60626582.75,0.0,5647909.48,27804.0,1151293609.5,32901087.1,l
2012,CE,Água,Água,380889595.78,71983466.36,197591.99,1804712.12,1448303.0,41002818.55,60168207.52,163392.0,2334185.33,561221.27,0.0,0.0,l
2012,DF,Água,Água,61617863.42,1858324.0,0.0,635441.2,1072209.0,9276511.75,1573796.13,0.0,757369.06,558764.06,0.0,0.0,l
2012,ES,Água,Água,70507789.0,9797649.83,137281.8,579142.0,17066503.0,4243023.53,9090382.98,361662.6,553862.64,239774.24,0.0,0.0,l
2012,GO,Água,Água,112916168.86,34740549.01,0.0,2152723.26,6895303.2,21508358.75,19907553.76,0.0,2307803.98,2881502.92,50543857.1,1206836.74,l
2012,MA,Água,Água,66600120.0,15178922.88,0.0,1530273.2,119577.6,10536721.65,15259481.46,0.0,1896999.86,96226.73,128245594.0,76497.56,l
2012,MG,Água,Água,213878294.05,184952764.65,3134619.0,4316762.84,2225780.0,20262481.37,178563598.21,3539785.12,4280367.03,1596241.91,271118.03,19037.3,l
2012,MS,Água,Água,31190836.4,10238176.38,0.0,641744.56,641683.0,3278266.16,12532498.27,0.0,581769.95,299843.34,11851935.5,5768337.02,l
2012,MT,Água,Água,204379895.88,26620566.71,0.0,2904574.8,0.0,29458880.94,25110804.42,0.0,2828077.46,0.0,0.0,0.0,l
2012,PA,Água,Água,256917170.22,35429192.88,0.0,1563644.6,0.0,16439362.83,18336101.58,0.0,1332158.69,0.0,803001000.0,116862.73,l
2012,PB,Água,Água,132672780.0,11953548.0,0.0,639320.17,0.0,11971940.81,10953644.61,0.0,396040.26,0.0,66362961.0,23147320.35,l
2012,PE,Água,Água,901189961.66,20868530.77,300254.4,913373.01,0.0,77966684.37,12151871.65,246958.87,556696.31,0.0,1109024784.0,146016.27,l
2012,PI,Água,Água,22733790.97,4885781.0,0.0,1029586.0,0.0,2317497.58,3528912.49,0.0,948813.79,0.0,0.0,0.0,l
2012,PR,Água,Água,166286000.2,37406710.29,1174332.0,4486227.97,252492.0,33854244.09,40023300.12,1311551.98,4506119.26,262591.68,31782172.0,17053182.18,l
2012,RJ,Água,Água,470129188.4,70746374.15,206808.0,6100224.28,8747899.0,26300364.83,38547888.5,60319.0,3111901.76,365448.34,7078200.0,50999.15,l
2012,RN,Água,Água,258259982.0,10634592.8,0.0,1370931.2,0.0,12647739.94,8097951.62,0.0,1268075.93,0.0,0.0,0.0,l
2012,RO,Água,Água,132514100.0,12639767.28,0.0,934403.4,0.0,12219456.25,11075469.77,0.0,955550.22,0.0,0.0,0.0,l
2012,RR,Água,Água,3869932.0,2539186.6,0.0,0.0,0.0,978784.0,487877.57,0.0,0.0,0.0,0.0,0.0,l
2012,RS,Água,Água,171697390.8,171711044.01,289908.0,3079156.8,13086.0,37016552.09,175673509.93,501788.56,4224711.15,2181.0,68169763.4,66912.18,l
2012,SC,Água,Água,146840342.37,36608096.45,17205.7,1179459.8,2249904.0,24900180.0,24637547.08,22266.98,1203351.61,1196637.53,0.0,0.0,l
2012,SE,Água,Água,140487316.6,15811401.42,0.0,3771137.24,0.0,18906397.19,14639501.77,0.0,3387807.57,0.0,0.0,0.0,l
2012,SP,Água,Água,669266411.17,532380070.65,6910918.92,26374961.41,1725695.63,80271391.56,526833190.88,10585747.94,23927983.55,1552271.59,172221135.0,16619377.46,l
2012,TO,Água,Água,27463740.0,3131368.0,0.0,177484.4,0.0,2590251.24,2651693.19,0.0,157611.93,0.0,0.0,0.0,l
2013,AC,Água,Água,61885893.8,3305409.2,0.0,0.0,0.0,4187132.69,841039.52,0.0,0.0,0.0,0.0,0.0,l
2013,AL,Água,Água,202052488.0,51402849.47,0.0,5576394.87,579233.56,21180469.14,40511842.28,0.0,2980630.48,2271719.81,0.0,0.0,l
2013,AM,Água,Água,136355440.0,25587754.5,0.0,652585.8,33248220.0,12650603.57,24572244.21,0.0,424814.69,1624426.59,28577350.0,10207.16,l
2013,AP,Água,Água,27422351.0,2726977.88,0.0,1890993.2,0.0,2427787.66,529144.85,0.0,241233.82,0.0,0.0,0.0,l
2013,BA,Água,Água,452351967.79,83617080.92,0.0,8664323.84,0.0,40696486.43,70531656.96,0.0,6183750.77,0.0,1172823793.22,23613824.08,l
2013,CE,Água,Água,339300854.0,62500506.53,0.0,1544395.46,1767810.0,48623075.24,65073514.79,0.0,2104944.93,795907.55,0.0,0.0,l
2013,DF,Água,Água,80050509.61,5008265.18,0.0,1288871.26,335458.06,11856133.54,2677312.21,0.0,1105641.21,236334.4,79265978.64,68436039.14,l
2013,ES,Água,Água,67208158.0,13041012.76,171811.92,534729.6,0.0,3281730.52,8354117.61,214586.42,279395.51,0.0,0.0,0.0,l
2013,GO,Água,Água,123620310.22,53440001.2,7772138.0,3706128.4,672902.0,26842849.78,36390905.14,6988977.78,3171661.89,2112312.72,36092131.4,11328286.0,l
2013,MA,Água,Água,78206920.0,16179530.32,0.0,1461653.0,8549.16,13178418.9,15399830.57,0.0,1868923.44,2564.75,130526238.2,68450.61,l
2013,MG,Água,Água,197921363.0,174630231.09,400813.33,3731013.72,784363.0,24690742.35,176701113.64,821230.57,4056044.1,344097.68,404247.56,28993.54,l
2013,MS,Água,Água,34609351.4,11320806.79,0.0,702015.06,535453.2,3962967.98,12706339.28,0.0,681572.21,296110.69,12702821.0,12702.82,l
2013,MT,Água,Água,200132745.36,29042249.28,0.0,2415774.4,0.0,30491473.73,28634976.67,0.0,2516475.75,0.0,0.0,0.0,l
2013,PA,Água,Água,261009247.2,38208936.72,0.0,4763543.36,0.0,27584376.33,26046998.41,0.0,4828538.39,0.0,774588000.0,94981.53,l
2013,PB,Água,Água,201964900.0,15604540.56,0.0,3118489.2,0.0,18040596.17,15277524.56,0.0,910251.99,0.0,79265978.64,28535699.14,l
2013,PE,Água,Água,926304621.85,36058702.68,268327.2,3692323.4,0.0,83848369.47,22619758.49,240888.27,2775478.26,0.0,987175940.0,144620.78,l
2013,PI,Água,Água,28122620.0,8047609.0,0.0,1193202.0,0.0,2857278.62,6930242.26,0.0,1512970.78,0.0,1736784.0,1860915.08,l
2013,PR,Água,Água,141214420.69,32782211.05,951000.0,4162508.3,278728.0,27789131.57,38897801.34,1162664.7,4063176.15,460480.96,47101868.0,6389020.2,l
2013,RJ,Água,Água,376051357.52,79370464.44,161988.0,5421862.4,17644080.0,22354725.93,52357226.51,47246.5,3253153.17,179761.52,7290600.5,44150.11,l
2013,RN,Água,Água,319103993.0,12913443.8,0.0,1206200.2,0.0,15859573.46,10930001.68,0.0,1203740.84,0.0,0.0,0.0,l
2013,RO,Água,Água,143221579.0,12649801.29,0.0,1166175.09,0.0,14449606.79,12595306.01,0.0,1069223.65,0.0,0.0,0.0,l
2013,RR,Água,Água,4915690.0,60418.2,0.0,0.0,2941702.56,908913.96,62086.0,0.0,0.0,514797.91,0.0,0.0,l
2013,RS,Água,Água,146897723.75,187313470.3,316983.0,3549563.73,44196.0,36850811.42,183273395.25,495900.86,4202741.49,17670.0,206093309.0,69068.11,l
2013,SC,Água,Água,149804270.44,39235205.03,25799.0,1513327.9,2321264.0,27082097.64,28758932.22,29763.28,1711718.72,1202255.82,1546000.0,1878519.0,l
2013,SE,Água,Água,173055007.0,18350625.34,0.0,3758721.64,0.0,51375225.28,19023535.46,0.0,3926207.72,0.0,0.0,0.0,l
2013,SP,Água,Água,704406824.09,640954021.58,6889389.72,28223394.6,5567029.37,96727043.69,534611809.2,13762757.93,24035981.37,3703572.62,194569325.85,20864622.92,l
2013,TO,Água,Água,34410100.0,3341666.8,0.0,167856.0,0.0,2911627.85,2729749.45,0.0,143483.52,0.0,0.0,0.0,l
2014,AC,Água,Água,60381346.8,3431039.2,0.0,0.0,0.0,4454639.12,680257.79,0.0,0.0,0.0,0.0,0.0,l
2014,AL,Água,Água,239543996.0,53034980.04,0.0,4694722.88,0.0,23203636.99,49563891.53,0.0,5302754.26,0.0,0.0,0.0,l
2014,AM,Água,Água,156629424.0,28987826.5,0.0,675459.4,9963960.0,14306598.62,25165814.55,0.0,993989.06,1431781.23,27917108.0,11482.93,l
2014,AP,Água,Água,22919022.0,329516.0,0.0,30969.6,0.0,2573019.98,1120770.33,0.0,46123.48,0.0,0.0,0.0,l
2014,BA,Água,Água,559906385.58,95985880.68,0.0,8848742.43,0.0,46881929.17,76991065.74,0.0,5793798.29,0.0,1201091869.32,183318.27,l
2014,CE,Água,Água,342389189.9,29240427.0,0.0,1491522.16,982312.0,52226734.99,26406934.61,0.0,2021144.24,442429.5,0.0,0.0,l
2014,DF,Água,Água,61865607.6,2017412.95,0.0,632720.11,332283.0,10224420.05,2317430.31,0.0,860741.59,186000.9,0.0,0.0,l
2014,ES,Água,Água,76440170.0,12931890.32,182807.0,556197.2,0.0,3953237.0,9107395.36,261287.36,332243.53,0.0,0.0,0.0,l
2014,GO,Água,Água,131306635.99,55718371.42,0.0,2774021.0,8594403.0,28927882.59,45362979.38,0.0,2439376.84,7468727.13,67141987.3,34022407.22,l
2014,MA,Água,Água,81202218.4,21405028.54,0.0,1566250.2,494700.0,12611771.81,22972759.35,0.0,1924987.08,378915.0,64648011.2,40483.54,l
2014,MG,Água,Água,209852265.52,191985932.12,566401.0,5968107.13,1021834.0,26961106.51,170145022.21,1113371.0,5623351.94,386219.66,726128.34,57976.22,l
2014,MS,Água,Água,42468229.6,11628102.19,0.0,619704.24,671657.0,5492091.15,11725856.41,0.0,623587.31,415216.03,13095795.82,13226.75,l
2014,MT,Água,Água,222698275.88,32124469.63,0.0,2596294.6,0.0,33609865.97,34463459.2,0.0,2967082.22,0.0,0.0,0.0,l
2014,PA,Água,Água,228946489.76,40020697.8,0.0,2529161.88,0.0,21230893.45,22150185.78,0.0,1670237.36,0.0,646389000.0,80877.0,l
2014,PB,Água,Água,225859876.0,24073235.96,0.0,1064668.53,0.0,18887664.1,18175131.08,0.0,1787764.52,0.0,87957093.0,40693630.34,l
2014,PE,Água,Água,846344270.24,15438232.6,262555.2,922421.65,504540.55,75241422.26,12294320.56,224409.25,892161.7,82592.43,769564333.84,159172.46,l
2014,PI,Água,Água,27827660.0,9775880.0,0.0,745941.0,0.0,3292159.93,11500506.85,0.0,1032022.01,0.0,0.0,0.0,l
2014,PR,Água,Água,136982679.74,40178062.59,771996.0,3935552.8,111261.6,27456813.97,42513843.98,998830.02,3910576.42,455639.38,53636653.8,5095234.06,l
2014,RJ,Água,Água,205819433.31,99054097.36,0.0,4111166.6,4110800.0,25922884.87,68431114.57,0.0,3844561.16,189251.5,7356011.0,40550.77,l
2014,RN,Água,Água,321412991.33,8768082.48,0.0,1344371.44,0.0,18369952.09,12859033.79,0.0,1515819.89,0.0,0.0,0.0,l
2014,RO,Água,Água,137405687.0,15482143.0,0.0,1173228.6,0.0,14527714.28,13636151.76,0.0,1262308.33,0.0,0.0,0.0,l
2014,RR,Água,Água,6608436.91,3533017.48,0.0,0.0,0.0,1694269.57,3764883.45,0.0,0.0,0.0,0.0,0.0,l
2014,RS,Água,Água,150906360.89,223639603.68,230820.0,3502487.69,47227.5,37736103.08,245790175.8,401759.6,5208757.91,16144.5,76043298.1,42912.1,l
2014,SC,Água,Água,182812996.0,46503393.78,15504.0,2078385.32,2806108.0,35283968.35,35620018.49,22464.46,2303401.35,1507200.08,1297257.6,1803748.8,l
2014,SE,Água,Água,162928150.0,19131522.12,0.0,5429804.8,0.0,25478624.74,16375235.96,0.0,3362521.69,0.0,2180159.88,2955521.99,l
2014,SP,Água,Água,674590765.81,869260634.47,7359242.8,34490197.4,6805040.03,93731039.49,657376694.73,7512296.11,30492548.98,9077341.94,160532975.0,17812816.05,l
2014,TO,Água,Água,31407604.0,2651438.0,0.0,193621.2,0.0,2363083.51,2153057.49,0.0,164865.22,0.0,0.0,0.0,l
2015,AC,Água,Água,67989416.0,1139537.0,0.0,0.0,0.0,5005492.81,545524.75,0.0,0.0,0.0,0.0,0.0,l
2015,AL,Água,Água,265317290.8,63627869.09,0.0,2864226.8,0.0,21963262.91,82030829.92,0.0,3689345.32,0.0,0.0,0.0,l
2015,AM,Água,Água,189548757.0,36401747.04,0.0,1662365.4,0.0,17472379.42,29914885.36,0.0,1354914.63,0.0,27602331.0,11328.74,l
2015,AP,Água,Água,62178820.0,15046097.8,0.0,66730.0,0.0,2063433.21,916535.84,0.0,52435.53,0.0,0.0,0.0,l
2015,BA,Água,Água,703177758.0,112005793.34,0.0,9991716.0,0.0,63700412.75,96451619.63,0.0,7899073.79,0.0,1299768661.5,62787040.03,l
2015,CE,Água,Água,413544603.2,40719773.08,0.0,1338270.42,0.0,62223330.49,44239973.73,0.0,2429646.43,0.0,13193168.0,4590823.59,l
2015,DF,Água,Água,54294076.29,18264375.62,0.0,852608.92,0.0,11143901.53,5246789.9,0.0,750126.02,0.0,0.0,0.0,l
2015,ES,Água,Água,96741035.0,16101191.28,197905.0,491739.0,0.0,6535209.33,13306841.1,462559.81,429674.5,0.0,0.0,0.0,l
2015,GO,Água,Água,134192416.0,53264903.5,0.0,1859958.0,4103885.0,28924754.57,54526061.13,0.0,1832831.52,4107849.52,19852610.3,75427.35,l
2015,MA,Água,Água,75564400.0,15405052.82,0.0,720661.8,759366.0,10054495.36,18653761.97,0.0,1053740.87,547488.68,17892282.7,37082.49,l
2015,MG,Água,Água,231104159.72,167954960.89,549648.2,6476807.72,2831912.0,30157635.75,153590522.84,677217.83,6308976.76,1005053.6,651036.2,65735.59,l
2015,MS,Água,Água,36805100.0,7076625.06,0.0,677871.13,680619.64,5373492.33,7677875.73,0.0,616196.24,412945.99,9262165.16,9262.18,l
2015,MT,Água,Água,232690362.04,34176484.42,0.0,2418560.08,0.0,96945947.09,33098906.68,0.0,2617837.28,0.0,28977.39,899036.91,l
2015,PA,Água,Água,191521764.62,35308349.22,0.0,1582226.8,0.0,18951628.85,21374869.5,0.0,895153.35,0.0,610856000.0,202945.36,l
2015,PB,Água,Água,243609443.2,50806192.26,0.0,1776600.49,471.0,20282495.27,36497609.53,0.0,2278857.69,367.0,64174461.0,49393597.69,l
2015,PE,Água,Água,742071808.69,21365348.53,269990.4,5963247.45,2645292.0,78617979.6,19449692.86,237488.87,4679402.26,975396.0,578780563.5,826923.3,l
2015,PI,Água,Água,30426920.0,5154349.7,0.0,564439.2,0.0,3860138.67,4610155.33,0.0,839272.13,0.0,0.0,0.0,l
2015,PR,Água,Água,137494611.77,54105551.86,770004.0,5236428.04,25225.2,29378386.83,57480609.5,1055200.21,5421150.47,39424.98,55410225.0,4241871.61,l
2015,RJ,Água,Água,203931867.77,111887714.0,0.0,3351363.4,6983900.0,26901124.62,120452355.75,0.0,3474098.33,183356.5,7112433.0,35599.63,l
2015,RN,Água,Água,410883419.0,24182667.1,0.0,1462761.6,0.0,22378730.41,23279561.46,0.0,1462117.28,0.0,0.0,0.0,l
2015,RO,Água,Água,155416530.6,16196705.35,0.0,1088620.76,0.0,17939224.61,15848013.23,0.0,1149329.48,0.0,0.0,0.0,l
2015,RR,Água,Água,7383880.0,3227148.44,0.0,27550.08,0.0,2187724.76,3838637.9,0.0,70043.0,0.0,0.0,0.0,l
2015,RS,Água,Água,168660093.88,213330184.77,215100.01,3534201.78,50334.0,40699420.67,235043820.29,287482.36,4991931.44,52025.43,67954096.5,102004.17,l
2015,SC,Água,Água,189491329.0,46325208.98,31621.0,1665431.33,2556148.0,37734902.17,36980995.79,44747.24,2027004.82,1420198.62,932580.0,852470.0,l
2015,SE,Água,Água,163000700.0,16079325.73,0.0,3195492.2,0.0,26397109.82,15719662.66,0.0,2640178.0,0.0,0.0,0.0,l
2015,SP,Água,Água,875437050.3,929571483.58,7324770.28,37224934.92,26916300.83,121327277.6,704734026.82,9916937.43,32439041.56,20658571.57,121218218.8,23118147.96,l
2015,TO,Água,Água,31227756.21,3169340.93,0.0,104511.39,717.0,2605165.57,2733565.79,0.0,90090.28,2054.72,0.0,0.0,l
2016,AC,Água,Água,46003802.0,978445.0,0.0,0.0,0.0,3260827.42,625447.9,0.0,0.0,0.0,0.0,0.0,l
2016,AL,Água,Água,282637274.4,84213620.0,0.0,1779157.0,0.0,24078648.24,101551431.93,0.0,2491290.25,0.0,0.0,0.0,l
2016,AM,Água,Água,192247732.0,34293612.98,0.0,1388689.0,0.0,14092009.39,28801220.59,0.0,1266539.63,0.0,27602331.0,11328.74,l
2016,AP,Água,Água,69232388.0,15297226.0,0.0,42230.4,0.0,2729372.9,1259288.93,0.0,57931.31,0.0,0.0,0.0,l
2016,BA,Água,Água,602046191.15,136325280.8,0.0,9192480.4,168772.0,63256970.0,101431011.02,0.0,7379714.04,136785.06,706942178.06,87403728.37,l
2016,CE,Água,Água,543553015.03,65616347.12,0.0,1439313.7,0.0,82200274.85,69912126.98,0.0,2628765.57,0.0,54072513.23,62448404.26,l
2016,DF,Água,Água,59211337.26,10153181.28,0.0,487761.82,0.0,10938891.65,7036791.88,0.0,713764.09,0.0,0.0,0.0,l
2016,ES,Água,Água,78917664.33,12591885.41,196655.0,475881.8,180.0,6142686.09,12107675.11,673765.36,538252.55,42.0,0.0,0.0,l
2016,GO,Água,Água,119368528.46,51917531.42,0.0,1613905.8,7998347.5,23946568.66,35352189.51,0.0,2086500.44,2031492.8,25430570.38,186767.94,l
2016,MA,Água,Água,97279060.0,13754217.4,0.0,721431.0,811872.0,11162523.3,26359288.94,0.0,1076926.28,572770.38,85891616.6,66529.85,l
2016,MG,Água,Água,224901341.5,174950172.79,399720.6,6742307.47,3659913.04,30356679.79,161486437.7,339252.72,5616409.56,1839130.76,572918.82,57294.55,l
2016,MS,Água,Água,31773281.0,7754616.92,0.0,519273.1,856407.0,5095304.83,8929519.93,0.0,528513.44,561732.04,9805862.4,9805.87,l
2016,MT,Água,Água,952838284.4,26779386.27,0.0,2102867.6,4022509.0,55139910.74,29266229.58,0.0,2743050.87,6777112.72,0.0,0.0,l
2016,PA,Água,Água,198194225.19,38122314.77,0.0,1973075.6,944803.56,22036213.13,24871640.63,0.0,2077345.23,0.0,242183000.0,151821.53,l
