Ano base,UF,Classe Substância,Substância Mineral,Quantidade Produção - Minério ROM (t),Quantidade Contido,Unidade de Medida - Contido,Indicação Contido,Quantidade Venda (t),Valor Venda (R$),Quantidade Transformação / Consumo / Utilização (t),Valor Transformação / Consumo / Utilização nesta mina (R$),Quantidade Transferência para Transformação / Utilização / Consumo (t),Valor Transferência para Transformação / Utilização / Consumo (R$)
2010,BA,Não-Metálicos,Fosfato,582336.35,108909.41,t,P2O5,0.0,0.0,0.0,0.0,0.0,0.0
2010,BA,Não-Metálicos,Vermiculita e Perlita,1808.0,859.35,t,,0.0,0.0,0.0,0.0,0.0,0.0
2010,CE,Gemas e Diamantes,Gemas,0.0,0.0,kg,,0.0,0.0,0.0,0.0,0.0,0.0
2010,CE,Não-Metálicos,Rochas (Britadas) e Cascalho,3559542.5,0.0,-,,0.0,0.0,0.0,0.0,0.0,0.0
2010,CE,Metálicos,Manganês,4000.0,1040.0,t,Mn,0.0,0.0,0.0,0.0,0.0,0.0
2010,CE,Não-Metálicos,Saibro,44760.7,0.0,-,,35136.7,88539.37,0.0,0.0,9624.0,15975.84
2010,CE,Não-Metálicos,Calcário,3232999.77,0.0,-,,462651.87,3552919.46,214432.99,3183498.14,390992.95,4455846.5
2010,CE,Energéticos,Urânio e outros Radioativos,0.0,0.0,t,,0.0,0.0,0.0,0.0,0.0,0.0
2010,CE,Não-Metálicos,Fosfato,0.0,0.0,t,P2O5,0.0,0.0,0.0,0.0,0.0,0.0
2010,CE,Não-Metálicos,Dolomito e Magnesita,90256.03,0.0,-,,87866.03,1689148.03,0.0,0.0,0.0,0.0
2010,CE,Não-Metálicos,Areia,1376405.55,0.0,-,,1185247.61,7467448.76,0.0,0.0,200049.06,384536.84
2010,CE,Não-Metálicos,Areias Industriais,194508.52,0.0,-,,0.0,0.0,150.0,12000.0,100.0,12000.0
2010,CE,Não-Metálicos,Rochas Ornamentais,52989.21,0.0,-,,53515.69,17169668.44,0.0,0.0,3953.02,491881.6
2010,CE,Não-Metálicos,Mica,965.7,0.0,-,,0.0,0.0,0.0,0.0,965.7,308924.0
2010,CE,Não-Metálicos,Argilas,1950747.5,0.0,-,,178484.27,2169519.63,676209.48,2410210.21,1072458.95,4926583.46
2010,CE,Não-Metálicos,Gipsita,81532.39,0.0,-,,81532.39,2083199.34,0.0,0.0,0.0,0.0
2010,CE,Metálicos,Ferro,55331.96,27873.3,t,Fe,53836.6,3088033.97,0.0,0.0,1495.36,37384.0
2010,CE,Não-Metálicos,Rochas Ornamentais - Outras,82458.08,0.0,-,,82380.98,5353748.42,0.0,0.0,0.0,0.0
2010,DF,Não-Metálicos,Areias Industriais,0.0,0.0,-,,0.0,0.0,0.0,0.0,0.0,0.0
2010,DF,Não-Metálicos,Calcário,5415701.64,0.0,-,,0.0,0.0,0.0,0.0,357775.37,15498844.24
2010,DF,Não-Metálicos,Argilas,232516.26,0.0,-,,0.0,0.0,109156.18,583474.36,123360.08,1538342.03
2010,DF,Não-Metálicos,Areia,399865.0,0.0,-,,381659.23,7440792.47,0.0,0.0,0.0,0.0
2010,DF,Não-Metálicos,Rochas (Britadas) e Cascalho,590274.14,0.0,-,,17918.13,168850.45,0.0,0.0,0.0,0.0
2010,ES,Não-Metálicos,Argilas,248657.42,0.0,-,,172888.37,1817430.58,14239.97,297484.55,52885.63,326049.1
2010,ES,Não-Metálicos,Saibro,76334.8,0.0,-,,65982.8,251446.87,0.0,0.0,0.0,0.0
2010,ES,Não-Metálicos,Rochas (Britadas) e Cascalho,5952638.4,0.0,-,,156010.81,805282.56,0.0,0.0,0.0,0.0
2010,ES,Não-Metálicos,Areias Industriais,0.0,0.0,-,,0.0,0.0,0.0,0.0,0.0,0.0
2010,ES,Não-Metálicos,Dolomito e Magnesita,767271.79,0.0,-,,745378.0,2587335.6,0.0,0.0,21893.79,198518.0
2010,ES,Não-Metálicos,Areia,1198993.13,0.0,-,,1180236.65,15386363.64,828.0,34706.0,5540.2,97717.84
2010,ES,Metálicos,Alumínio (Bauxita),0.0,0.0,t,Al2O3,0.0,0.0,0.0,0.0,0.0,0.0
2010,ES,Gemas e Diamantes,Gemas,5.0,0.58,kg,,5.0,53525.0,0.0,0.0,0.0,0.0
2010,ES,Não-Metálicos,"Feldspato, Leucita e Nefelina-Sienito",554.0,0.0,-,,312.64,570522.61,0.0,0.0,0.0,0.0
2010,ES,Não-Metálicos,Calcário,2217975.53,0.0,-,,1855350.34,30276441.5,0.0,0.0,106438.81,971072.39
2010,ES,Não-Metálicos,Rochas Ornamentais,1453267.28,0.0,-,,1259089.97,172430605.58,0.0,0.0,59031.33,10286239.94
