Ano base,UF,Classe Substância,Substância Mineral,Quantidade Produção,Unidade de Medida - Produção,Quantidade Contido,Unidade de Medida - Contido,Indicação Contido,Quantidade Venda,Unidade de Medida - Venda,Valor Venda (R$),Quantidade Consumo/Utilização na Usina,Unidade de Medida - Consumo/Utilização na Usina,Valor Consumo / Utilização na Usina (R$),Quantidade Transferência para Transformação / Utilização / Consumo,Unidade de Medida - Transferência para Transformação / Utilização / Consumo,Valor Transferência para Transformação / Utilização / Consumo (R$)
2010,GO,Metálicos,Cobalto,3203447.44,t,2881.52,t,Co,0.0,t,0.0,0,t,0.0,3203447.44,t,0.12
2010,GO,Metálicos,Cobre,271475.39,t,69662.36,t,Cu,272014.48,t,1241022095.7,0,t,0.0,0.0,t,0.12
2010,GO,Metálicos,Manganês,12065.2,t,5638.36,t,Mn,12065.2,t,6661975.98,0,t,0.0,0.0,t,0.0
2010,GO,Metálicos,Nióbio,17941.23,t,8547.57,t,Nb2O5,214.19,t,788789.06,0,t,0.0,12488.13,t,268935037.52
2010,GO,Metálicos,Níquel,95855.67,t,21501.33,t, Ni,64446.79,t,437048115.24,0,t,0.0,32034.47,t,120050927.0
2010,GO,Metálicos,Ouro,4794.67,kg,3252.67,kg,Au,4942.18,kg,341944169.26,0,kg,0.0,0.0,kg,0.0
2010,GO,Metálicos,Prata,60.0,kg,60.0,kg,Ag,60.0,kg,140000.0,0,kg,0.0,0.0,kg,0.0
2010,GO,Metálicos,Titânio,36829.89,t,7000.0,t,TiO2,30970.79,t,6279262.89,0,t,0.0,0.0,t,0.0
2010,GO,Não-Metálicos,Amianto,302257.0,t,302257.0,t,,306350.2,t,413847085.19,0,t,0.0,0.0,t,0.0
2010,GO,Não-Metálicos,Areia,408910.8,t,0.0,-,,408632.96,t,6724360.62,0,t,0.0,0.0,t,0.0
2010,GO,Não-Metálicos,Areias Industriais,15750.0,t,0.0,-,,15750.0,t,147400.0,0,t,0.0,0.0,t,0.0
2010,GO,Não-Metálicos,Argilas,3235.0,t,0.0,-,,218.0,t,2926.3,0,t,0.0,1000.0,t,444145.0
2010,GO,Não-Metálicos,Bário,23390.0,t,13174.0,t,BaSO4,23261.8,t,2578934.1,0,t,0.0,0.0,t,0.0
2010,GO,Não-Metálicos,Calcário,4886420.93,t,0.0,-,,3701998.1,t,106311293.25,0,t,0.0,1442671.49,t,8076324.88
2010,GO,Não-Metálicos,Dolomito e Magnesita,439700.6,t,0.0,-,,434853.7,t,11807603.8,0,t,0.0,0.0,t,0.0
2010,GO,Não-Metálicos,Fosfato,2643426.88,t,949307.23,t,P2O5,281172.83,t,107866356.51,45414,t,4241803.34,1851023.13,t,197375241.61
